0.444,-0.576,8.816,-0.113,2.461,-0.414,136.5795,128.6289,6.126,2
-0.228,-0.262,8.846,-1.85,1.234,-0.241,119.9927,112.0743,7.0117,1
2.371,-1.897,8.721,2.216,-4.755,-0.531,108.3949,100.6023,7.8259,1
1.489,-0.386,10.192,-4.897,2.944,0.514,114.1195,106.3869,7.4333,2
-0.586,-0.506,10.93,-0.53,-3.78,0.305,104.2625,96.5205,8.1628,2
-0.008,-1.256,10.554,2.176,-0.432,-0.386,87.4047,79.8312,9.8687,3
0.297,-0.199,9.414,-4.483,3.007,-0.722,78.0934,70.4943,11.1035,3
1.36,0.188,8.396,1.871,1.962,-0.734,68.2861,60.9801,12.9086,2
-0.606,-0.504,11.068,1.531,-0.658,-0.657,53.0897,46.3041,17.1182,3
0.723,-0.186,10.196,-2.327,2.74,-1.073,49.2231,42.6396,18.6536,3
0.716,1.011,10.032,0.963,-1.5,-1.144,49.2661,42.2505,18.4783,1
0.533,1.262,10.224,-0.315,-2.142,-3.483,39.8414,33.6378,23.6633,3
1.941,1.319,9.818,-2.757,0.079,-0.137,217.9393,209.7602,3.7614,3
0.003,0.51,11.971,-0.642,6.642,-1.02,207.6765,199.5333,3.9567,2
0.338,-0.614,8.635,7.698,-10.108,-0.727,200.0816,191.9301,4.1088,3
-1.619,0.677,10.273,0.343,3.237,5.933,182.4887,174.3938,4.5241,2
-0.308,2.298,8.91,-5.496,2.351,-0.856,175.0236,167.0324,4.7403,2
1.034,-0.244,8.601,-0.837,-3.278,-1.833,166.4946,158.5295,4.9941,1
-0.174,0.405,9.858,-3.802,1.933,-0.124,166.0279,158.0446,5.0052,3
0.021,1.558,10.881,-1.514,0.548,-0.784,150.5725,142.5558,5.527,1
0.344,-0.676,8.716,-0.113,2.461,-0.414,136.5795,128.6289,6.126,2
-0.328,-0.362,8.746,-1.85,1.234,-0.241,119.9927,112.0743,7.0117,1
2.271,-1.997,8.621,2.216,-4.755,-0.531,108.3949,100.6023,7.8259,1
1.389,-0.486,10.092,-4.897,2.944,0.514,114.1195,106.3869,7.4333,2
-0.686,-0.606,10.83,-0.53,-3.78,0.305,104.2625,96.5205,8.1628,2
-0.108,-1.356,10.454,2.176,-0.432,-0.386,87.4047,79.8312,9.8687,3
0.197,-0.299,9.314,-4.483,3.007,-0.722,78.0934,70.4943,11.1035,3
1.26,0.088,8.296,1.871,1.962,-0.734,68.2861,60.9801,12.9086,2
-0.706,-0.604,10.968,1.531,-0.658,-0.657,53.0897,46.3041,17.1182,3
0.623,-0.286,10.096,-2.327,2.74,-1.073,49.2231,42.6396,18.6536,3
0.616,0.911,9.932,0.963,-1.5,-1.144,49.2661,42.2505,18.4783,1
0.433,1.162,10.124,-0.315,-2.142,-3.483,39.8414,33.6378,23.6633,3
1.841,1.219,9.718,-2.757,0.079,-0.137,217.9393,209.7602,3.7614,3
0.0747,0.5745,12.3816,-0.642,6.642,-1.02,207.6765,199.5333,3.9567,2
0.3791,-0.5945,8.9456,7.698,-10.108,-0.727,200.0816,191.9301,4.1088,3
-1.589,0.8048,10.6327,0.343,3.237,5.933,182.4887,174.3938,4.5241,2
-0.1812,2.4262,9.2288,-5.496,2.351,-0.856,175.0236,167.0324,4.7403,2
1.1089,-0.2387,8.9105,-0.837,-3.278,-1.833,166.4946,158.5295,4.9941,1
-0.1113,0.4728,10.2052,-3.802,1.933,-0.124,166.0279,158.0446,5.0052,3
